Contract_ID,License_Type,Vendor,Start_Date,End_Date,Owner,Criticality,Days_to_Renewal,Renewal_Flag,Total_Users,Active_Users,Avg_Utilization_Pct,Total_Annual_Budget_USD,Total_Actual_Spend_USD,Spend%,Budget_Status,Total_True_Up_USD,Stages,Approval_Status,Max_Days_in_Stage
C-1000,Contributor,Microsoft,14-05-2023,23-03-2026,IT,Medium,81,Warning,182,143,78.87,4538,3677,0.810288265,Near Limit,-861,Execution,Pending,9
C-1001,Collaborator,Atlassify,29-11-2023,14-05-2026,IT,Medium,133,Planning,245,181,72.9,2538,1968,0.775330582,Healthy,-570,Approval,Approved,14
C-1002,Collaborator,Microsoft,18-11-2023,22-04-2026,Procurement,Medium,111,Planning,161,124,91.18,3849,3347,0.869744384,Near Limit,-502,Approval,Approved,13
C-1003,Collaborator,Nexaflow,02-08-2023,16-06-2026,Finance,Medium,166,Planning,157,30,30.12,2386,8616,3.610176245,Exceeded,6230,Execution,Pending,16
C-1004,Contributor,Microsoft,31-03-2023,18-12-2026,Finance,Medium,351,Normal,182,143,86.87,282,301,1.067416049,Exceeded,19,Approval,Pending,13
C-1005,Contributor,Microsoft,30-06-2023,20-02-2026,IT,Critical,50,Warning,182,35,19.46,8294,6756,0.814523431,Near Limit,-1538,Negotiation,Pending,15
C-1006,Contributor,Microsoft,31-03-2023,23-05-2026,Procurement,Medium,142,Planning,182,143,78.87,4212,3517,0.834922402,Near Limit,-695,Approval,Pending,13
C-1007,Contributor,Microsoft,22-01-2023,01-05-2026,Finance,Medium,120,Planning,182,143,78.87,1134,9850,8.683416829,Exceeded,8716,Execution,Approved,17
C-1008,Collaborator,Prismly,13-04-2023,29-07-2026,Finance,Critical,209,Normal,245,181,72.9,1541,1421,0.922223772,Near Limit,-120,Negotiation,Pending,13
C-1009,Collaborator,Microsoft,18-04-2023,19-09-2026,Procurement,High,261,Normal,161,124,76.18,2340,1949,0.8328,Near Limit,-391,Planning,Pending,13
C-1010,Collaborator,Cloudora,15-06-2023,05-05-2026,Procurement,Critical,124,Planning,157,26,16.82,215,234,1.088581783,Exceeded,19,Approval,Pending,14
C-1011,Contributor,Microsoft,09-10-2023,07-12-2026,Finance,Medium,340,Normal,182,49,27.03,1770,1472,0.831746649,Near Limit,-298,Approval,Approved,11
C-1012,Collaborator,Nexaflow,10-03-2023,05-05-2026,IT,Critical,124,Planning,245,181,72.9,1148,1188,1.034431276,Exceeded,40,Planning,Approved,15
C-1013,Collaborator,Microsoft,31-05-2023,23-01-2026,Finance,Critical,22,Critical,161,124,76.18,1431,1436,1.003278553,Exceeded,5,Planning,Pending,3
C-1014,Collaborator,Cloudora,02-02-2023,27-08-2026,Procurement,High,238,Normal,157,114,75.23,1207,936,0.775672212,Healthy,-271,Execution,Pending,15
C-1015,Collaborator,Databridge,16-11-2023,14-08-2026,IT,Medium,225,Normal,157,114,75.23,2956,2462,0.8328,Near Limit,-494,Negotiation,Pending,3
C-1016,Collaborator,Veloxa,15-08-2023,26-12-2026,Finance,High,359,Normal,157,114,75.23,4567,2907,0.63649787,Healthy,-1660,Planning,Pending,16
C-1017,Collaborator,Atlassify,11-01-2023,21-02-2026,Procurement,Critical,51,Warning,245,37,15.3,9938,6400,0.644014577,Healthy,-3538,Approval,Approved,3
C-1018,Contributor,Microsoft,30-11-2023,19-12-2026,Procurement,Medium,352,Normal,182,143,78.87,1783,134,0.075517983,Healthy,-1649,Negotiation,Approved,16
C-1019,Collaborator,Nexaflow,13-06-2023,27-06-2026,Procurement,Critical,177,Planning,157,114,75.23,3103,2035,0.656021387,Healthy,-1068,Planning,Pending,8
C-1020,Collaborator,Cloudora,08-02-2023,07-11-2026,Finance,Medium,310,Normal,245,181,72.9,2063,1773,0.859740107,Near Limit,-290,Planning,Pending,14
C-1021,Collaborator,Cloudora,26-12-2023,17-01-2026,Procurement,Critical,16,Critical,245,68,28,367,345,0.940655298,Near Limit,-22,Execution,Pending,12
C-1022,Contributor,Microsoft,23-04-2023,26-04-2026,IT,Critical,115,Planning,182,143,78.87,2356,1093,0.4638592,Healthy,-1263,Negotiation,Pending,4
C-1023,Contributor,Microsoft,01-01-2023,27-10-2026,Procurement,High,299,Normal,182,143,78.87,2112,2207,1.045012091,Exceeded,95,Execution,Approved,16
C-1024,Collaborator,Databridge,24-03-2023,28-05-2026,Procurement,High,147,Planning,245,181,72.9,456,237,0.520777321,Healthy,-219,"Approval, ",Pending,10
C-1025,Collaborator,Databridge,20-09-2023,02-10-2026,IT,High,274,Normal,245,181,72.9,3607,2270,0.629475894,Healthy,-1337,Planning,Pending,13
C-1026,Contributor,Microsoft,16-09-2023,30-07-2026,Finance,High,210,Normal,182,143,78.87,342,324,0.947182482,Near Limit,-18,Execution,Approved,14
C-1027,Contributor,Microsoft,15-01-2023,01-01-2026,IT,High,0,Critical,182,52,28.89,456,345,0.756425442,Healthy,-111,Approval,Approved,15
C-1028,Collaborator,Databridge,24-06-2023,13-01-2026,IT,High,12,Critical,157,114,75.23,4789,143,0.030057582,Healthy,-4646,Negotiation,Approved,10
C-1029,Collaborator,Veloxa,19-11-2023,15-02-2026,IT,High,45,Warning,157,114,75.23,2354,289,0.122747512,Healthy,-2065,Execution,Approved,4
C-1030,Contributor,Microsoft,15-10-2023,05-10-2026,Finance,Critical,277,Normal,182,143,78.87,1561,1414,0.905962249,Near Limit,-147,Planning,Pending,12
C-1031,Collaborator,Veloxa,19-03-2023,30-09-2026,Finance,Critical,272,Normal,245,181,72.9,345,324,0.938824741,Near Limit,-21,Approval,Approved,4
C-1032,Collaborator,Databridge,19-06-2023,24-06-2026,Procurement,Medium,174,Planning,245,42,17.18,9918,10065,1.014862951,Exceeded,147,Planning,Pending,16
C-1033,Contributor,Microsoft,04-06-2023,29-09-2026,Finance,Critical,271,Normal,182,143,78.87,3739,2415,0.645806059,Healthy,-1324,Approval,Approved,5
C-1034,Collaborator,Microsoft,14-04-2023,29-12-2026,Finance,Medium,362,Normal,161,124,76.18,4875,4672,0.958314661,Exceeded,-203,Planning,Approved,13
C-1035,Collaborator,Cloudora,02-10-2023,08-09-2026,IT,Critical,250,Normal,245,181,72.9,478,389,0.813053428,Near Limit,-89,Planning,Pending,17
C-1036,Collaborator,Cloudora,07-12-2023,22-07-2026,Procurement,Medium,202,Normal,245,181,72.9,4195,3327,0.793143411,Healthy,-868,Planning,Pending,13
C-1037,Contributor,Microsoft,24-01-2023,31-03-2026,Finance,Medium,89,Warning,182,24,13.6,4748,3215,0.67724928,Healthy,-1533,Execution,Approved,7
C-1038,Collaborator,Microsoft,03-07-2023,17-11-2026,IT,Medium,320,Normal,161,124,76.18,3187,2154,0.676000432,Healthy,-1033,Planning,Pending,13
C-1039,Collaborator,Atlassify,15-12-2023,30-03-2026,Finance,High,88,Warning,245,54,21.98,4657,345,0.074256164,Healthy,-4312,Planning,Pending,13
C-1040,Contributor,Microsoft,27-07-2023,02-02-2026,Finance,Medium,32,Warning,182,143,78.87,5255,4178,0.795198649,Healthy,-1077,Negotiation,Pending,13
C-1041,Collaborator,Microsoft,29-10-2023,09-02-2026,IT,High,39,Warning,161,124,76.18,4675,36749,7.860269291,Exceeded,32074,Planning,Pending,13
C-1042,Collaborator,Veloxa,20-12-2023,26-06-2026,IT,Medium,176,Planning,245,181,72.9,3850,3494,0.907525319,Near Limit,-356,Planning,Pending,13
C-1043,Collaborator,Atlassify,15-09-2023,03-05-2026,IT,Medium,122,Planning,157,114,75.23,234,223,0.954520433,Exceeded,-11,Approval,Pending,18
C-1044,Collaborator,Nexaflow,08-10-2023,09-02-2026,Procurement,High,39,Warning,245,181,72.9,4481,4014,0.895752217,Near Limit,-467,Approval,Pending,13
C-1045,Collaborator,Microsoft,14-04-2023,28-01-2026,Procurement,Critical,27,Critical,161,124,76.18,1235,1093,0.88492111,Near Limit,-142,Planning,Pending,13
C-1046,Collaborator,Veloxa,11-11-2023,30-08-2026,Procurement,Critical,241,Normal,157,114,75.23,2845,2074,0.72916655,Healthy,-771,Planning,Pending,13
C-1047,Collaborator,Databridge,20-10-2023,29-08-2026,IT,High,240,Normal,157,114,75.23,4208,4009,0.952644886,Exceeded,-199,Execution,Approved,1
C-1048,Collaborator,Atlassify,12-02-2023,16-09-2026,Procurement,Medium,258,Normal,245,68,27.68,8064,5717,0.709006115,Healthy,-2347,Execution,Approved,15
C-1049,Collaborator,Databridge,17-02-2023,29-07-2026,Procurement,Critical,209,Normal,157,114,75.23,5393,5123,0.950058798,Exceeded,-270,Execution,Approved,3
