of_id,vendor,sku,seat_type,contract_group_id,contracted_seats,unit_price,contract_start,contract_expiry,notice_deadline,auto_renewal,true_down_rights,measurement_method,contract_status,predecessor_of_id,contract_event_type,seat_delta,effective_total_seats
V1-OF-001,Atlassify,Project Suite,Full,ATL-PS-BASE,75,24,01-01-2020,01-01-2021,02-11-2020,TRUE,FALSE,peak,superseded,,new,75,155
V1-OF-002,Atlassify,Project Suite,Full,ATL-PS-BASE,75,26.6,01-01-2021,01-01-2022,02-12-2021,TRUE,FALSE,peak,superseded,V1-OF-001,renewal,0,155
V1-OF-003,Atlassify,Project Suite,Full,ATL-PS-BASE,75,26.6,01-01-2022,01-07-2022,02-04-2022,TRUE,FALSE,peak,superseded,V1-OF-002,renewal,0,155
V1-OF-004,Atlassify,Project Suite,Full,ATL-PS-BASE,75,26.6,01-07-2022,01-01-2023,03-10-2022,TRUE,TRUE,peak,superseded,V1-OF-003,renewal,0,155
V1-OF-005,Atlassify,Project Suite,Full,ATL-PS-BASE,65,26.6,01-01-2023,01-01-2024,02-11-2023,FALSE,TRUE,peak,superseded,V1-OF-004,renewal,0,155
V1-OF-006,Atlassify,Project Suite,Full,ATL-PS-BASE,75,26.6,01-01-2024,01-01-2025,02-12-2024,TRUE,FALSE,peak,superseded,V1-OF-005,upsell,10,155
V1-OF-007,Atlassify,Project Suite,Full,ATL-PS-BASE,80,26.85,01-01-2025,01-01-2026,03-10-2025,FALSE,FALSE,peak,superseded,V1-OF-006,renewal,0,155
V1-OF-008,Atlassify,Project Suite,Full,ATL-PS-BASE,85,26.85,01-01-2026,01-01-2027,03-10-2026,TRUE,TRUE,peak,active,V1-OF-007,renewal,0,155
V1-OF-001,Atlassify,Project Suite,Contributor,ATL-PS-BASE,130,9.9,01-01-2020,01-01-2021,02-11-2020,TRUE,FALSE,peak,superseded,,new,130,375
V1-OF-002,Atlassify,Project Suite,Contributor,ATL-PS-BASE,145,10.77,01-01-2021,01-01-2022,02-12-2021,FALSE,TRUE,peak,superseded,V1-OF-001,renewal,0,375
V1-OF-003,Atlassify,Project Suite,Contributor,ATL-PS-BASE,180,10.77,01-01-2022,01-07-2022,02-04-2022,TRUE,FALSE,peak,superseded,V1-OF-002,upsell,35,375
V1-OF-004,Atlassify,Project Suite,Contributor,ATL-PS-BASE,185,10.77,01-07-2022,01-01-2023,03-10-2022,FALSE,FALSE,peak,superseded,V1-OF-003,renewal,0,375
V1-OF-005,Atlassify,Project Suite,Contributor,ATL-PS-BASE,195,10.77,01-01-2023,01-01-2024,02-11-2023,TRUE,FALSE,peak,superseded,V1-OF-004,renewal,0,375
V1-OF-006,Atlassify,Project Suite,Contributor,ATL-PS-BASE,200,10.77,01-01-2024,01-01-2025,02-12-2024,FALSE,TRUE,peak,superseded,V1-OF-005,renewal,0,375
V1-OF-007,Atlassify,Project Suite,Contributor,ATL-PS-BASE,240,10.77,01-01-2025,01-01-2026,03-10-2025,FALSE,FALSE,peak,superseded,V1-OF-006,upsell,40,375
